id,nome,emoji,valor,cotas
"0","Cuequinha Antiestresse","🩲","57.25","-1"
"1","Mamadeira Turbo 3000","🍼","66.5","0"
"2","Fralda com Bluetooth","🧷","84.75","2"
"3","Roupão Jedi Baby","🧥","77.25","4"
"4","Patinho GPS de Banho","🦆","70.5","5"
"5","Body Estampado de Dinossauro","🦖","77.5","5"
"6","Babador Wi-Fi","🧣","59.25","6"
"7","Naninha Falante","🧸","80.75","4"
"8","Termômetro Musical","🌡️","91.25","5"
"9","Tapete de Dança Baby","🪩","83.75","4"
"10","Kit Higiene com Glitter","✨","68.75","5"
"11","Travesseiro Antigravidade","🛌","86.25","5"
"12","Copo Anti-Vazamento Jedi","🥤","81.25","5"
"13","Almofada com Memória Afetiva","🛋️","72.75","6"
"14","Livro Mágico de Banho","📘","96","4"
"15","Canguru com Suspensório Ninja","🐨","93.25","4"
"16","Cadeirinha com Ejetor de Risadas","🪑","95.75","5"
"17","Organizador Intergaláctico","🛸","95.25","5"
"18","Fralda Recarregável","🧷","72.5","6"
"19","Berço com Porta USB","🛏️","59","4"
"20","Cortador de Unha com Lanterna","✂️","93.5","4"
"21","Mochila com Porta Fralda Emergencial","🎒","78.25","6"
"22","Termômetro Inteligente","🌡️","57.75","5"
"23","Tapete com Alarme de Soneca","🧸","92.75","5"
"24","Trocador com Wi-Fi","🔄","64","4"
"25","Cobertor Antiestresse","🛏️","98.25","6"
"26","Touca com Isolamento Térmico","🎩","65.75","5"
"27","Meias de Super-Herói","🧦","67.75","6"
"28","Toalha que Abraça","🛁","88.75","4"
"29","Travesseiro Sonífero","🛏️","74.5","6"
"30","Kit Talheres Gamer","🍴","78.75","5"
"31","Lençol Autolimpante","🛏️","71.75","6"
"32","Pote Térmico com Bluetooth","🥣","92.75","6"
"33","Mordedor de Arco-Íris","🌈","82.25","5"
"34","Sabonete com Aroma de Ursinho","🧼","78.75","5"
"35","Kit Spa Bebê","🧴","58.75","4"
"36","Babá Eletrônica com IA","📹","97.75","6"
"37","Cadeira Musical de Alimentação","🎶","92.25","4"
"38","Troninho com Feedback Sonoro","🚽","63.75","5"
"39","Kit Penteado Fashion Baby","💇","83.5","5"
"40","Touca para Sonhos Doces","🎩","55.75","4"
"41","Almofada que Conta Histórias","📖","82.75","4"
"42","Colchonete Inflável Mágico","🛏️","101.25","6"
"43","Carregador de Bebê Humano","🧍","89.75","5"
"44","Macacão com GPS","🧥","101","3"
"45","Fralda Noturna com Luz de LED","💡","55.5","3"
"46","Toalhas que Fazem Cócegas","🛁","88.5","5"
"47","Copo de Pré-Treinamento infantil","🥛","84.25","4"
